DESCRIÇÃO;LANÇAMENTO;VENCIMENTO;EFETIVAÇÃO;CATEGORIA;SUBCATEGORIA;CARTÃO;CONTA;VALOR;OBSERVAÇÕES
Rtx 5060ti 16GB  12/12;20/10/2025 07:59;05/10/2026;;Parcelamentos;Cartão Mãe;;Itaú;298.5;
Parcela i30  15/34;12/05/2025 12:03;05/10/2026;;Transporte;I30;;Itaú;1200.0;
Mensalidade pós  6/20;01/12/2025 18:13;05/10/2026;;Despesas Variáveis (pessoal);Educação;;Itaú;500.0;
Plano sem parar;07/01/2026 16:58;10/10/2026;;Multicategorias;-;;Itaú;83.98;
Google My Finan;21/03/2026 20:10;10/10/2026;;Assinaturas & Serviços;Minhas Finanças;Santander Elite;Itaú;13.9;
Claude code;18/03/2026 22:28;10/10/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;117.51;
Vita Animalia  7/10;16/03/2026 10:32;10/10/2026;;Família;Anim. estimação;Santander Elite;Itaú;200.87;"Compra no cartão final 6174, de R$ 2.008,16, em 16/03/26, às 10:27, em VITA ANIMALIA, aprovada.
#VitaAnimalia"
Academia bernardo;18/03/2026 22:07;10/10/2026;;Família;Filhos;Santander Elite;Itaú;259.0;
Claro;25/11/2024 09:38;11/10/2026;;Moradia;Internet;;Itaú;363.13;
Empréstimo Itaú  8/12;21/03/2026 19:16;01/11/2026;;Empréstimo Itaú;Parcelado;;Itaú;551.5;
Seguro cartão;04/07/2025 08:34;04/11/2026;;Assinaturas & Serviços;Recorrente Debito;;Itaú;16.79;
Luz energia;02/02/2025 15:23;05/11/2026;;Moradia;Conta De Luz;;Itaú;200.0;
Aluguel;25/11/2024 09:15;05/11/2026;;Moradia;Aluguel;;Itaú;1600.0;
Agua;02/02/2025 15:23;05/11/2026;;Moradia;Conta De Água;;Itaú;100.0;
Ventilador mãe presente  9/10;16/02/2026 02:48;05/11/2026;;Parcelamentos;Cartão Mãe;;Itaú;175.0;
Parcela i30  16/34;12/05/2025 12:03;05/11/2026;;Transporte;I30;;Itaú;1200.0;
Mensalidade pós  7/20;01/12/2025 18:13;05/11/2026;;Despesas Variáveis (pessoal);Educação;;Itaú;500.0;
Plano sem parar;07/01/2026 16:58;10/11/2026;;Multicategorias;-;;Itaú;83.98;
Google My Finan;21/03/2026 20:10;10/11/2026;;Assinaturas & Serviços;Minhas Finanças;Santander Elite;Itaú;13.9;
Claude code;18/03/2026 22:28;10/11/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;117.51;
Academia bernardo;18/03/2026 22:07;10/11/2026;;Família;Filhos;Santander Elite;Itaú;259.0;
Vita Animalia  8/10;16/03/2026 10:32;10/11/2026;;Família;Anim. estimação;Santander Elite;Itaú;200.87;"Compra no cartão final 6174, de R$ 2.008,16, em 16/03/26, às 10:27, em VITA ANIMALIA, aprovada.
#VitaAnimalia"
Claro;25/11/2024 09:38;11/11/2026;;Moradia;Internet;;Itaú;363.13;
Empréstimo Itaú  9/12;21/03/2026 19:16;01/12/2026;;Empréstimo Itaú;Parcelado;;Itaú;551.5;
Seguro cartão;04/07/2025 08:34;04/12/2026;;Assinaturas & Serviços;Recorrente Debito;;Itaú;16.79;
Luz energia;02/02/2025 15:23;05/12/2026;;Moradia;Conta De Luz;;Itaú;200.0;
Aluguel;25/11/2024 09:15;05/12/2026;;Moradia;Aluguel;;Itaú;1600.0;
Agua;02/02/2025 15:23;05/12/2026;;Moradia;Conta De Água;;Itaú;100.0;
Ventilador mãe presente  10/10;16/02/2026 02:48;05/12/2026;;Parcelamentos;Cartão Mãe;;Itaú;175.0;
Parcela i30  17/34;12/05/2025 12:03;05/12/2026;;Transporte;I30;;Itaú;1200.0;
Mensalidade pós  8/20;01/12/2025 18:13;05/12/2026;;Despesas Variáveis (pessoal);Educação;;Itaú;500.0;
Plano sem parar;07/01/2026 16:58;10/12/2026;;Multicategorias;-;;Itaú;83.98;
Google My Finan;21/03/2026 20:10;10/12/2026;;Assinaturas & Serviços;Minhas Finanças;Santander Elite;Itaú;13.9;
Claude code;18/03/2026 22:28;10/12/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;117.51;
Academia bernardo;18/03/2026 22:07;10/12/2026;;Família;Filhos;Santander Elite;Itaú;259.0;
Vita Animalia  9/10;16/03/2026 10:32;10/12/2026;;Família;Anim. estimação;Santander Elite;Itaú;200.87;"Compra no cartão final 6174, de R$ 2.008,16, em 16/03/26, às 10:27, em VITA ANIMALIA, aprovada.
#VitaAnimalia"
Claro;25/11/2024 09:38;11/12/2026;;Moradia;Internet;;Itaú;363.13;
