DESCRIÇÃO;LANÇAMENTO;VENCIMENTO;EFETIVAÇÃO;CATEGORIA;SUBCATEGORIA;CARTÃO;CONTA;VALOR;OBSERVAÇÕES
Shopee raissa salão  3/6;07/01/2026 12:27;05/04/2026;;Parcelamentos;Cartão Mãe;;Itaú;132.26;
Troca de óleo i30  2/2;16/02/2026 02:51;05/04/2026;;Parcelamentos;Cartão Mãe;;Itaú;153.5;
Ventilador mãe presente  2/10;16/02/2026 02:48;05/04/2026;;Parcelamentos;Cartão Mãe;;Itaú;175.0;
Dr consulta  7/9;06/10/2025 22:46;06/04/2026;;Parcelamentos;Cartão Mãe;;Itaú;41.85;
Farol do carro  7/7;06/10/2025 22:44;06/04/2026;;Parcelamentos;Cartão Mãe;;Itaú;66.6;
Dia Brasil Lj 2;08/03/2026 17:22;10/04/2026;;Alimentação;Almoço;Santander Elite;Itaú;15.98;"Compra no cartão final 6174, de R$ 15,98, em 08/03/26, às 17:22, em DIA BRASIL LJ 2, aprovada.
#DiaBrasilLj2"
Panetteria Zn;11/03/2026 09:25;10/04/2026;;Alimentação;Cafe Manha;Santander Elite;Itaú;11.22;"Compra no cartão final 9471, de R$ 11,22, em 11/03/26, às 09:25, em PANETTERIA ZN, aprovada.
#PanetteriaZn"
Vita Animalia  1/10;16/03/2026 10:32;10/04/2026;;Família;Anim. estimação;Santander Elite;Itaú;200.87;"Compra no cartão final 6174, de R$ 2.008,16, em 16/03/26, às 10:27, em VITA ANIMALIA, aprovada.
#VitaAnimalia"
Esfiha trimais;07/03/2026 11:01;10/04/2026;;Alimentação;Almoço;Santander Elite;Itaú;14.97;
Uber;18/03/2026 23:22;10/04/2026;;Transporte;Uber;Santander Elite;Itaú;9.93;
Dalvaalves;08/03/2026 13:01;10/04/2026;;Alimentação;Feira;Santander Elite;Itaú;16.0;"Compra no cartão final 6174, de R$ 16,00, em 08/03/26, às 13:01, em DalvaAlves, aprovada.
#Dalvaalves"
Hostinger vps;20/03/2026 17:48;10/04/2026;;Assinaturas & Serviços;Hostinger;Santander Elite;Itaú;89.99;"Compra no cartão final 6174, de R$ 89,99, em 20/03/26, às 17:48, em EBN         .HO, aprovada.
#Ebnho"
Cursor app;18/03/2026 23:26;10/04/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;48.8;
Consulta médica Thor  2/3;18/02/2026 12:39;10/04/2026;;Família;Anim. estimação;Santander Elite;Itaú;346.39;
Coca cola;06/03/2026 13:23;10/04/2026;;Alimentação;Lanche;Santander Elite;Itaú;8.5;
Lídia kanda;18/03/2026 23:25;10/04/2026;;Alimentação;Feira;Santander Elite;Itaú;42.0;
